status,date_time,seconds,state
ok,03/09/2009 11:11:54,94488,dry
ok,04/09/2009 13:26:42,13758,dry
ok,04/09/2009 17:16:00,3756,wet
ok,04/09/2009 18:18:36,9,dry
ok,04/09/2009 18:18:45,21,wet
ok,04/09/2009 18:19:06,12,dry
ok,04/09/2009 18:19:18,12,wet
ok,04/09/2009 18:19:30,21,dry
ok,04/09/2009 18:19:51,2163,wet
ok,04/09/2009 18:55:54,5484,dry
ok,04/09/2009 20:27:18,17277,wet
ok,05/09/2009 01:15:15,12,dry
ok,05/09/2009 01:15:27,447,wet
ok,05/09/2009 01:22:54,102,dry
ok,05/09/2009 01:24:36,6,wet
ok,05/09/2009 01:24:42,6,dry
ok,05/09/2009 01:24:48,1161,wet
ok,05/09/2009 01:44:09,6,dry
ok,05/09/2009 01:44:15,1425,wet
ok,05/09/2009 02:08:00,6,dry
ok,05/09/2009 02:08:06,417,wet
ok,05/09/2009 02:15:03,18,dry
ok,05/09/2009 02:15:21,165,wet
ok,05/09/2009 02:18:06,1101,dry
ok,05/09/2009 02:36:27,48,wet
ok,05/09/2009 02:37:15,48,dry
ok,05/09/2009 02:38:03,6,wet
ok,05/09/2009 02:38:09,18,dry
ok,05/09/2009 02:38:27,9,wet
ok,05/09/2009 02:38:36,27,dry
ok,05/09/2009 02:39:03,6,wet
ok,05/09/2009 02:39:09,21,dry
ok,05/09/2009 02:39:30,1260,wet
ok,05/09/2009 03:00:30,6,dry
ok,05/09/2009 03:00:36,7053,wet
ok,05/09/2009 04:58:09,63,dry
ok,05/09/2009 04:59:12,2310,wet
ok,05/09/2009 05:37:42,147,dry
ok,05/09/2009 05:40:09,2913,wet
ok,05/09/2009 06:28:42,45,dry
ok,05/09/2009 06:29:27,198,wet
ok,05/09/2009 06:32:45,30,dry
ok,05/09/2009 06:33:15,1302,wet
ok,05/09/2009 06:54:57,15417,dry
ok,05/09/2009 11:11:54,7053,dry
ok,05/09/2009 13:09:27,51,wet
ok,05/09/2009 13:10:18,12,dry
ok,05/09/2009 13:10:30,210,wet
ok,05/09/2009 13:14:00,2748,dry
ok,05/09/2009 13:59:48,7311,wet
ok,05/09/2009 16:01:39,27,dry
ok,05/09/2009 16:02:06,585,wet
ok,05/09/2009 16:11:51,6,dry
ok,05/09/2009 16:11:57,4974,wet
ok,05/09/2009 17:34:51,13518,dry
ok,05/09/2009 21:20:09,4020,wet
ok,05/09/2009 22:27:09,6,dry
ok,05/09/2009 22:27:15,1644,wet
ok,05/09/2009 22:54:39,2499,dry
ok,05/09/2009 23:36:18,96,wet
ok,05/09/2009 23:37:54,132,dry
ok,05/09/2009 23:40:06,1626,wet
ok,06/09/2009 00:07:12,6003,dry
ok,06/09/2009 01:47:15,363,wet
ok,06/09/2009 01:53:18,6,dry
ok,06/09/2009 01:53:24,432,wet
ok,06/09/2009 02:00:36,4791,dry
ok,06/09/2009 03:20:27,156,wet
ok,06/09/2009 03:23:03,4038,dry
ok,06/09/2009 04:30:21,39,wet
ok,06/09/2009 04:31:00,12,dry
ok,06/09/2009 04:31:12,60,wet
ok,06/09/2009 04:32:12,2103,dry
ok,06/09/2009 05:07:15,819,wet
ok,06/09/2009 05:20:54,9,dry
ok,06/09/2009 05:21:03,3444,wet
ok,06/09/2009 06:18:27,930,dry
ok,06/09/2009 06:33:57,24,wet
ok,06/09/2009 06:34:21,1149,dry
ok,06/09/2009 06:53:30,5307,wet
ok,06/09/2009 08:21:57,12936,dry
ok,06/09/2009 11:57:33,42,wet
ok,06/09/2009 11:58:15,660,dry
ok,06/09/2009 12:09:15,120,wet
ok,06/09/2009 12:11:15,1215,dry
ok,06/09/2009 12:31:30,135,wet
ok,06/09/2009 12:33:45,3642,dry
ok,06/09/2009 13:34:27,591,wet
ok,06/09/2009 13:44:18,6,dry
ok,06/09/2009 13:44:24,129,wet
ok,06/09/2009 13:46:33,1059,dry
ok,06/09/2009 14:04:12,36369,wet
ok,07/09/2009 00:10:21,2118,dry
ok,07/09/2009 00:45:39,21522,wet
ok,07/09/2009 06:44:21,96,dry
ok,07/09/2009 06:45:57,2355,wet
ok,07/09/2009 07:25:12,450,dry
ok,07/09/2009 07:32:42,13152,wet
ok,07/09/2009 11:11:54,2622,wet
ok,07/09/2009 11:55:36,6,dry
ok,07/09/2009 11:55:42,1578,wet
ok,07/09/2009 12:22:00,10107,dry
ok,07/09/2009 15:10:27,111,wet
ok,07/09/2009 15:12:18,24,dry
ok,07/09/2009 15:12:42,6,wet
ok,07/09/2009 15:12:48,6,dry
ok,07/09/2009 15:12:54,6,wet
ok,07/09/2009 15:13:00,9,dry
ok,07/09/2009 15:13:09,30,wet
ok,07/09/2009 15:13:39,21,dry
ok,07/09/2009 15:14:00,282,wet
ok,07/09/2009 15:18:42,12,dry
ok,07/09/2009 15:18:54,477,wet
ok,07/09/2009 15:26:51,6,dry
ok,07/09/2009 15:26:57,1167,wet
ok,07/09/2009 15:46:24,159,dry
ok,07/09/2009 15:49:03,42,wet
ok,07/09/2009 15:49:45,45,dry
ok,07/09/2009 15:50:30,12,wet
ok,07/09/2009 15:50:42,27,dry
ok,07/09/2009 15:51:09,828,wet
ok,07/09/2009 16:04:57,3108,dry
ok,07/09/2009 16:56:45,1329,wet
ok,07/09/2009 17:18:54,6,dry
ok,07/09/2009 17:19:00,261,wet
ok,07/09/2009 17:23:21,9,dry
ok,07/09/2009 17:23:30,1476,wet
ok,07/09/2009 17:48:06,6,dry
ok,07/09/2009 17:48:12,132,wet
ok,07/09/2009 17:50:24,13245,dry
ok,07/09/2009 21:31:09,501,wet
ok,07/09/2009 21:39:30,6,dry
ok,07/09/2009 21:39:36,1719,wet
ok,07/09/2009 22:08:15,6,dry
ok,07/09/2009 22:08:21,2373,wet
ok,07/09/2009 22:47:54,9,dry
ok,07/09/2009 22:48:03,1128,wet
ok,07/09/2009 23:06:51,9,dry
ok,07/09/2009 23:07:00,6138,wet
ok,08/09/2009 00:49:18,6,dry
ok,08/09/2009 00:49:24,261,wet
ok,08/09/2009 00:53:45,5457,dry
ok,08/09/2009 02:24:42,405,wet
ok,08/09/2009 02:31:27,663,dry
ok,08/09/2009 02:42:30,2922,wet
ok,08/09/2009 03:31:12,1662,dry
ok,08/09/2009 03:58:54,6138,wet
ok,08/09/2009 05:41:12,3306,dry
ok,08/09/2009 06:36:18,732,wet
ok,08/09/2009 06:48:30,36,dry
ok,08/09/2009 06:49:06,4428,wet
ok,08/09/2009 08:02:54,15429,dry
