status,date_time,seconds,state
ok,02/06/2009 12:09:00,94488,dry
ok,03/06/2009 14:23:48,13170,dry
ok,03/06/2009 18:03:18,2046,wet
ok,03/06/2009 18:37:24,159,dry
ok,03/06/2009 18:40:03,198,wet
ok,03/06/2009 18:43:21,72,dry
ok,03/06/2009 18:44:33,30,wet
ok,03/06/2009 18:45:03,6,dry
ok,03/06/2009 18:45:09,6,wet
ok,03/06/2009 18:45:15,24,dry
ok,03/06/2009 18:45:39,9,wet
ok,03/06/2009 18:45:48,24,dry
ok,03/06/2009 18:46:12,6,wet
ok,03/06/2009 18:46:18,6,dry
ok,03/06/2009 18:46:24,18,wet
ok,03/06/2009 18:46:42,6,dry
ok,03/06/2009 18:46:48,63,wet
ok,03/06/2009 18:47:51,6,dry
ok,03/06/2009 18:47:57,48,wet
ok,03/06/2009 18:48:45,12,dry
ok,03/06/2009 18:48:57,2043,wet
ok,03/06/2009 19:23:00,609,dry
ok,03/06/2009 19:33:09,351,wet
ok,03/06/2009 19:39:00,18,dry
ok,03/06/2009 19:39:18,24,wet
ok,03/06/2009 19:39:42,9,dry
ok,03/06/2009 19:39:51,51,wet
ok,03/06/2009 19:40:42,9,dry
ok,03/06/2009 19:40:51,21,wet
ok,03/06/2009 19:41:12,6,dry
ok,03/06/2009 19:41:18,63,wet
ok,03/06/2009 19:42:21,12,dry
ok,03/06/2009 19:42:33,33,wet
ok,03/06/2009 19:43:06,6,dry
ok,03/06/2009 19:43:12,939,wet
ok,03/06/2009 19:58:51,9,dry
ok,03/06/2009 19:59:00,786,wet
ok,03/06/2009 20:12:06,6,dry
ok,03/06/2009 20:12:12,2196,wet
ok,03/06/2009 20:48:48,519,dry
ok,03/06/2009 20:57:27,3192,wet
ok,03/06/2009 21:50:39,48,dry
ok,03/06/2009 21:51:27,2157,wet
ok,03/06/2009 22:27:24,6,dry
ok,03/06/2009 22:27:30,9,wet
ok,03/06/2009 22:27:39,6,dry
ok,03/06/2009 22:27:45,246,wet
ok,03/06/2009 22:31:51,33,dry
ok,03/06/2009 22:32:24,132,wet
